City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,255.24,85,100,2.06,CA,1707322736
1,portland,45.5234,-122.6762,279.73,96,100,2.06,US,1707322328
2,fale old settlement,-9.3852,-171.2468,301.49,83,100,10.98,TK,1707322737
3,blackmans bay,-43.0167,147.3167,288.22,69,81,1.38,AU,1707322737
4,somvarpet,12.6,75.8667,292.04,63,2,0.83,IN,1707322738
5,papatowai,-46.5619,169.4708,282.93,77,53,3.14,NZ,1707322738
6,sao vicente,-23.9631,-46.3919,308.3,70,75,2.68,BR,1707322739
7,island harbour,50.724,-1.2758,280.49,95,100,1.79,GB,1707322739
8,iqaluit,63.7506,-68.5145,253.0,59,100,8.23,CA,1707322740
9,bonthe,7.5264,-12.505,304.4,59,3,6.11,SL,1707322740
10,kashgar,39.4547,75.9797,270.71,68,20,1.0,CN,1707322741
11,port-aux-francais,-49.35,70.2167,277.9,88,96,14.2,TF,1707322741
12,georgetown,5.4112,100.3354,300.9,89,40,1.54,MY,1707322511
13,port alfred,-33.5906,26.891,294.92,76,9,2.68,ZA,1707322742
14,olonkinbyen,70.9221,-8.7187,270.88,61,76,8.04,SJ,1707322743
15,bethel,41.3712,-73.414,278.82,57,0,3.6,US,1707322741
16,waitangi,-43.9535,-176.5597,289.72,96,93,2.35,NZ,1707322744
17,talnakh,69.4865,88.3972,254.93,84,90,2.16,RU,1707322744
18,bredasdorp,-34.5322,20.0403,297.09,51,1,10.2,ZA,1707322744
19,sparti,37.0733,22.4297,288.68,60,95,1.61,GR,1707322745
20,tolanaro,-25.0319,46.9987,297.91,93,78,2.99,MG,1707322745
21,road town,18.4167,-64.6167,299.2,88,100,3.6,VG,1707322638
22,albany,42.6001,-73.9662,275.69,64,53,0.89,US,1707322746
23,la passe,45.5549,-0.8967,285.28,93,100,8.74,FR,1707322747
24,kirakira,-10.4544,161.9205,300.74,81,100,4.84,SB,1707322747
25,vilyuchinsk,52.9306,158.4028,266.44,92,100,2.1,RU,1707322748
26,adamstown,-25.066,-130.1015,297.83,86,100,4.69,PN,1707322749
27,longyearbyen,78.2186,15.6401,266.06,73,40,5.14,SJ,1707322750
28,ilulissat,69.2167,-51.1,269.16,80,100,9.26,GL,1707322755
29,tabou,4.423,-7.3528,303.23,67,14,4.63,CI,1707322755
30,tura,25.5198,90.2201,286.37,37,0,0.81,IN,1707322756
31,edinburgh of the seven seas,-37.0676,-12.3116,290.47,62,48,1.36,SH,1707322756
32,kapa'a,22.0752,-159.319,295.43,76,75,6.17,US,1707322757
33,dongola,19.1667,30.4833,294.42,19,39,4.47,SD,1707322757
34,cholpon-ata,42.6494,77.0823,272.18,52,95,1.17,KG,1707322758
35,san mariano,7.5,126.0,294.97,95,99,0.78,PH,1707322758
36,mount isa,-20.7333,139.5,301.02,51,40,5.14,AU,1707322759
37,mount gambier,-37.8333,140.7667,283.94,90,73,2.49,AU,1707322529
38,imbituba,-28.24,-48.6703,300.29,73,66,4.02,BR,1707322760
39,port mathurin,-19.6833,63.4167,300.3,75,29,7.72,MU,1707322760
40,puerto natales,-51.7236,-72.4875,287.4,47,75,9.77,CL,1707322761
41,lihue,21.9789,-159.3672,295.02,76,75,6.17,US,1707322761
42,alpine,32.835,-116.7664,280.53,95,100,0.0,US,1707322761
43,stanley,54.868,-1.6985,276.92,77,20,4.63,GB,1707322762
44,cestos city,5.46,-9.5828,303.27,66,9,5.5,LR,1707322762
45,punta arenas,-53.15,-70.9167,286.21,54,40,14.92,CL,1707322507
46,hawaiian paradise park,19.5933,-154.9731,291.5,95,75,3.6,US,1707322763
47,masuguru,-11.3667,38.4167,299.99,88,32,1.64,TZ,1707322764
48,susuman,62.7833,148.1667,239.81,100,98,0.89,RU,1707322764
49,coquimbo,-29.9533,-71.3436,294.0,83,40,4.63,CL,1707322765
50,west island,-12.1568,96.8225,301.14,83,75,2.57,CC,1707322766
51,osh,40.5151,72.8083,277.51,65,20,4.0,KG,1707322766
52,invercargill,-46.4,168.35,283.72,92,31,1.34,NZ,1707322767
53,toamasina,-18.1667,49.3833,300.15,83,75,1.54,MG,1707322767
54,kodiak,57.79,-152.4072,273.88,75,0,1.54,US,1707322768
55,kone,-21.0595,164.8658,298.03,93,100,1.32,NC,1707322768
56,sisimiut,66.9395,-53.6735,261.48,94,100,7.42,GL,1707322769
57,yellowknife,62.456,-114.3525,255.6,84,75,3.6,CA,1707322769
58,nur-sultan,51.1801,71.446,266.12,93,0,9.0,KZ,1707322770
59,petauke,-14.2426,31.3253,294.55,88,87,3.36,ZM,1707322770
60,whitehorse,60.7161,-135.0538,250.82,72,20,1.54,CA,1707322771
61,aasiaat,68.7098,-52.8699,268.89,72,100,11.23,GL,1707322771
62,avarua,-21.2078,-159.775,300.18,83,40,6.69,CK,1707322772
63,monguno,12.6786,13.6079,297.97,25,100,4.79,NG,1707322772
64,papao,-17.75,-149.55,300.97,88,100,13.92,PF,1707322522
65,tughyl,47.7252,84.2063,260.08,92,33,1.32,KZ,1707322773
66,grytviken,-54.2811,-36.5092,284.19,86,85,6.09,GS,1707322774
67,bella vista,36.4295,-94.2316,287.44,43,0,4.63,US,1707322775
68,vorgashor,67.5833,63.95,262.81,89,100,3.83,RU,1707322775
69,nemuro,43.3236,145.575,266.76,71,16,2.16,JP,1707322776
70,kabalo,-6.05,26.9167,298.94,85,56,0.53,CD,1707322776
71,utrik,11.2278,169.8474,299.29,75,100,10.32,MH,1707322777
72,kingscliff,-28.2667,153.5667,296.89,94,100,5.14,AU,1707322777
73,cooper's town,26.8667,-77.5167,294.06,55,74,11.15,BS,1707322778
74,ulladulla,-35.35,150.4667,291.34,69,100,3.21,AU,1707322778
75,santa vitoria do palmar,-33.5189,-53.3681,302.74,43,35,1.97,BR,1707322779
76,hadibu,12.65,54.0333,298.5,70,85,5.47,YE,1707322779
77,quellon,-43.1167,-73.6167,288.72,52,53,1.84,CL,1707322780
78,hilo,19.7297,-155.09,293.31,95,75,3.6,US,1707322780
79,mpika,-11.8343,31.4529,293.02,92,40,3.06,ZM,1707322781
80,puerto ayora,-0.7393,-90.3518,304.13,78,74,4.92,EC,1707322782
81,balabac,7.9868,117.0645,299.94,82,100,5.07,PH,1707322782
82,hermanus,-34.4187,19.2345,296.37,71,1,7.87,ZA,1707322783
83,udachny,66.4167,112.4,239.96,100,96,1.34,RU,1707322783
84,hithadhoo,-0.6,73.0833,301.3,75,16,3.83,MV,1707322784
85,saint-joseph,-21.3667,55.6167,299.36,87,95,4.6,RE,1707322784
86,callao,-12.0667,-77.15,303.31,51,0,6.69,PE,1707322648
87,qaqortoq,60.7167,-46.0333,267.07,67,99,2.7,GL,1707322785
88,bilibino,68.0546,166.4372,238.91,100,100,0.32,RU,1707322786
89,mana,5.6592,-53.7767,302.67,67,21,6.06,GF,1707322786
90,hamilton,39.1834,-84.5333,283.79,54,20,4.63,US,1707322783
91,tobol,52.6844,62.5794,265.01,91,100,8.71,KZ,1707322788
92,ancud,-41.8697,-73.8203,288.53,51,89,3.95,CL,1707322673
93,ushuaia,-54.8,-68.3,286.94,66,75,12.86,AR,1707322789
94,acapulco de juarez,16.8634,-99.8901,302.05,61,20,1.54,MX,1707322545
95,inongo,-1.95,18.2667,300.58,65,82,2.46,CD,1707322595
96,ribeira grande,38.5167,-28.7,289.37,94,75,8.75,PT,1707322790
97,bikenibeu village,1.3673,173.1241,301.71,80,82,8.73,KI,1707322791
98,shimoda,34.6667,138.95,277.65,67,94,1.64,JP,1707322791
99,inhambane,-23.865,35.3833,301.14,78,20,4.12,MZ,1707322792
100,cottesloe,-32.0,115.7667,297.58,41,0,1.54,AU,1707322792
101,nikko,36.75,139.6167,270.91,75,14,1.94,JP,1707322793
102,bainbridge,47.6262,-122.5212,279.69,95,75,0.0,US,1707322793
103,pizarro,4.9533,-77.366,301.54,75,39,1.37,CO,1707322794
104,keflavik,64.0049,-22.5624,271.39,64,0,2.06,IS,1707322794
105,sanshui,23.1549,112.8916,283.09,44,100,4.0,CN,1707322795
106,tongouson,5.0214,120.1328,299.72,83,85,2.54,PH,1707322795
107,puerto baquerizo moreno,-0.9,-89.6,301.7,74,40,5.66,EC,1707322796
108,brookings,44.3114,-96.7984,279.15,86,0,8.75,US,1707322660
109,saipan,15.1355,145.701,297.54,78,40,4.63,MP,1707322797
110,sittwe,20.15,92.9,295.74,84,0,7.11,MM,1707322797
111,lionel town,17.8101,-77.2406,299.21,45,7,4.11,JM,1707322798
112,quesnel,52.9999,-122.5029,266.43,93,100,1.03,CA,1707322798
113,lazaro cardenas,17.9583,-102.2,300.8,57,81,0.13,MX,1707322514
114,point pedro,9.8167,80.2333,299.13,73,15,5.58,LK,1707322799
115,coronel dorrego,-38.7187,-61.2873,303.16,46,99,4.92,AR,1707322800
116,college,64.8569,-147.8028,258.65,78,75,0.0,US,1707322800
117,brive-la-gaillarde,45.25,1.5,284.17,28,100,1.32,FR,1707322801
118,buala,-8.145,159.5921,299.91,86,100,4.18,SB,1707322801
119,talagang,32.9297,72.4158,284.11,35,0,2.13,PK,1707322802
120,margaret river,-33.95,115.0667,291.14,58,0,3.86,AU,1707322803
121,mawu,29.5923,107.3139,277.98,87,91,1.09,CN,1707322803
122,north platte,41.1239,-100.7654,283.36,75,0,6.71,US,1707322804
123,zouerate,22.7187,-12.4521,301.46,6,10,5.18,MR,1707322804
124,ust-nera,64.5667,143.2,241.89,99,97,0.84,RU,1707322805
125,tazovsky,67.4667,78.7,255.0,100,100,3.87,RU,1707322805
126,myitkyina,25.3833,97.4,287.79,90,29,1.23,MM,1707322806
127,oistins,13.0667,-59.5333,303.2,74,40,7.72,BB,1707322598
128,celestun,20.8667,-90.4,295.71,50,0,1.14,MX,1707322807
129,bamboo flat,11.7,92.7167,298.2,88,20,1.03,IN,1707322807
130,qarazhal,48.0078,70.7903,268.4,90,32,7.8,KZ,1707322808
131,embi,48.8264,58.1442,268.09,84,100,12.86,KZ,1707322808
132,raahe,64.6833,24.4833,253.2,98,74,3.24,FI,1707322809
133,enewetak,11.3474,162.3373,299.79,80,100,9.74,MH,1707322809
134,zlatograd,41.3833,25.1,283.72,74,97,2.47,BG,1707322810
135,freetown,8.484,-13.2299,302.99,74,40,4.12,SL,1707322810
136,sayat,38.7839,63.8803,279.08,42,12,2.03,TM,1707322811
137,ihsaniye,40.6909,29.8347,288.36,70,100,0.92,TR,1707322812
138,talakan,50.3167,130.3667,251.83,100,99,1.2,RU,1707322813
139,isafjordur,66.0755,-23.124,271.17,69,75,2.57,IS,1707322814
140,dumbea,-22.15,166.45,300.36,99,100,4.71,NC,1707322815
141,taroa,8.7058,171.2275,300.41,76,88,10.57,MH,1707322818
142,piacabucu,-10.4056,-36.4344,304.68,58,89,6.3,BR,1707322818
143,selfoss,63.9331,-20.9971,266.51,80,5,4.52,IS,1707322819
144,broome,42.2506,-75.833,277.79,72,0,0.89,US,1707322820
145,dyatlovo,53.4631,25.4068,272.93,83,100,6.01,BY,1707322820
146,kangding,30.0513,101.9603,271.71,75,47,1.49,CN,1707322821
147,itaituba,-4.2761,-55.9836,305.24,70,40,4.12,BR,1707322741
148,strathmore,51.0501,-113.3852,266.68,93,100,1.54,CA,1707322822
149,klyuchi,52.2667,79.1667,270.68,73,100,7.67,RU,1707322822
150,salalah,17.0151,54.0924,299.2,50,0,0.0,OM,1707322823
151,kambia,9.1167,-12.9167,311.87,17,70,0.72,SL,1707322824
152,wailua homesteads,22.0669,-159.378,294.68,76,75,6.17,US,1707322824
153,ban nong wua so,17.2675,103.2247,299.74,20,0,1.83,TH,1707322826
154,tiksi,71.6872,128.8694,250.44,99,100,2.05,RU,1707322827
155,anadyr,64.75,177.4833,255.43,84,100,9.0,RU,1707322827
156,wenchang,30.904,118.4887,271.99,95,72,0.15,CN,1707322828
157,sabang,5.8933,95.3214,301.1,79,17,4.99,ID,1707322634
158,iwaki,37.05,140.8833,276.91,85,9,2.62,JP,1707322829
159,qaisumah,28.3112,46.1273,290.13,36,0,2.06,SA,1707322830
160,kutum,14.2,24.6667,295.06,16,76,4.46,SD,1707322831
161,chonchi,-42.6128,-73.8092,289.71,39,31,1.72,CL,1707322668
162,kromy,52.6876,35.7667,276.29,90,100,7.86,RU,1707322832
163,zaraza,9.3503,-65.3245,307.14,44,72,2.04,VE,1707322833
164,aykhal,66.0,111.5,243.05,100,41,1.36,RU,1707322834
165,moyynkum,44.2914,72.9469,272.95,99,100,1.95,KZ,1707322834
166,saldanha,-33.0117,17.9442,298.18,73,39,4.01,ZA,1707322836
167,sitka,57.0531,-135.33,272.09,86,0,0.0,US,1707322836
168,hadleigh,51.5527,0.6098,280.33,84,75,2.57,GB,1707322837
169,coyhaique,-45.5752,-72.0662,286.49,54,75,4.12,CL,1707322838
170,lebu,-37.6167,-73.65,290.74,70,100,7.79,CL,1707322658
171,lerwick,60.1545,-1.1494,275.15,61,61,9.07,GB,1707322839
172,dudinka,69.4058,86.1778,255.16,99,96,2.01,RU,1707322840
173,portoferraio,42.8115,10.3146,288.21,76,86,1.03,IT,1707322841
174,zarah sharan,33.1467,68.7917,265.25,71,1,0.81,AF,1707322842
175,key west,24.5557,-81.7826,292.15,72,20,6.69,US,1707322842
176,jining,35.405,116.5814,271.51,68,91,0.93,CN,1707322843
177,hirara,24.8,125.2833,291.07,94,75,14.4,JP,1707322843
178,ilula,-7.6766,36.0366,293.03,92,26,0.36,TZ,1707322844
179,bukama,-9.2,25.85,298.91,86,21,1.09,CD,1707322844
180,petropavlovsk-kamchatsky,53.0452,158.6483,265.62,76,75,3.0,RU,1707322845
181,salym,60.0625,71.4789,268.81,83,100,5.4,RU,1707322846
182,iskateley,67.6803,53.1512,245.94,100,91,1.79,RU,1707322847
183,tsiombe,-25.3,45.4833,295.57,95,73,2.49,MG,1707322847
184,swakopmund,-22.6833,14.5333,299.62,85,100,4.66,NA,1707322848
185,stranraer,54.9023,-5.0273,278.48,55,100,4.56,GB,1707322848
186,khandyga,62.6667,135.6,229.26,100,66,0.87,RU,1707322849
187,alice springs,-23.7,133.8833,298.27,30,21,6.69,AU,1707322849
188,la vega,19.2221,-70.5296,300.62,48,33,3.29,DO,1707322850
189,severo-yeniseyskiy,60.3725,93.0408,260.69,99,90,1.34,RU,1707322850
190,sassandra,4.95,-6.0833,304.55,58,9,4.15,CI,1707322851
191,pathalgaon,22.5667,83.4667,291.22,32,15,3.42,IN,1707322852
192,albertina,-22.2008,-46.6158,300.62,54,100,0.42,BR,1707322852
193,fort st. john,56.2499,-120.8529,264.09,73,100,3.6,CA,1707322706
194,badger,64.8,-147.5333,258.6,70,20,0.0,US,1707322853
195,calderitas,18.55,-88.25,295.21,64,0,0.0,MX,1707322854
196,vila franca do campo,37.7167,-25.4333,291.38,96,100,8.55,PT,1707322755
197,arkhangel'sk,64.5401,40.5433,249.33,76,20,0.0,RU,1707322855
198,topeka,39.0483,-95.678,285.07,62,0,7.2,US,1707322796
199,nuku'alofa,-21.1333,-175.2,298.34,88,20,1.54,TO,1707322856
200,kirkland lake,48.1446,-80.0377,274.31,100,98,2.06,CA,1707322857
201,egilsstadir,65.2653,-14.3948,268.1,86,75,2.06,IS,1707322857
202,port elizabeth,-33.918,25.5701,298.2,71,0,9.26,ZA,1707322858
203,lucapa,-8.4192,20.7447,296.99,81,91,0.84,AO,1707322858
204,san juan,-31.5375,-68.5364,309.67,25,0,1.87,AR,1707322736
205,kavieng,-2.5744,150.7967,299.37,92,100,8.84,PG,1707322859
206,dapitan,8.6464,123.4208,298.36,88,65,3.66,PH,1707322860
207,atascadero,35.4894,-120.6707,282.29,95,75,0.89,US,1707322818
208,san antonio de pale,-1.4014,5.6325,301.65,71,60,1.09,GQ,1707322861
209,lingyuan,41.24,119.4011,267.44,39,0,1.26,CN,1707322861
210,sarupathar,26.1984,93.8094,290.19,72,94,0.19,IN,1707322862
211,kayyerkan,69.3786,87.7439,254.98,84,96,1.59,RU,1707322863
212,zagora,30.3484,-5.8365,294.71,13,4,4.24,MA,1707322863
213,alofi,-19.0595,-169.9187,298.09,100,82,1.54,NU,1707322650
214,konarka,19.9,86.1167,296.37,90,2,2.12,IN,1707322864
215,antofagasta,-23.65,-70.4,298.73,69,9,3.83,CL,1707322738
216,sanibel,26.449,-82.0223,292.6,66,0,2.24,US,1707322866
217,jamestown,42.097,-79.2353,277.92,67,0,2.57,US,1707322716
218,luderitz,-26.6481,15.1594,295.82,62,69,9.79,NA,1707322866
219,afaahiti,-17.75,-149.2833,300.08,88,100,12.36,PF,1707322867
220,usinsk,65.9939,57.5281,257.08,81,100,2.68,RU,1707322868
221,minas de marcona,-15.2119,-75.1103,296.66,71,65,3.6,PE,1707322869
222,labytnangi,66.6572,66.4183,262.74,95,100,6.23,RU,1707322869
223,asasa,7.1,39.2,291.37,50,96,1.65,ET,1707322871
224,yen vinh,18.6667,105.6667,293.43,93,100,5.15,VN,1707322872
225,amga,60.8953,131.9608,239.09,100,90,0.48,RU,1707322872
226,segorbe,39.8138,-0.4521,292.03,29,13,6.29,ES,1707322873
227,nar'yan-mar,67.6713,53.087,245.99,100,91,1.79,RU,1707322873
228,uacu cungo,-11.3634,15.1208,295.81,86,100,1.42,AO,1707322874
229,hami,42.8,93.45,270.78,49,100,1.74,CN,1707322874
230,kingston,17.997,-76.7936,298.84,66,20,10.29,JM,1707322875
231,garoowe,8.4054,48.4845,301.42,31,11,5.9,SO,1707322875
232,la'ie,21.6477,-157.9253,295.81,75,0,2.68,US,1707322876
233,pahrump,36.2083,-115.9839,278.44,93,100,2.68,US,1707322625
234,tamanrasset,22.785,5.5228,294.1,6,0,4.63,DZ,1707322877
235,uturoa,-16.7333,-151.4333,301.71,86,100,14.62,PF,1707322878
236,beichengqu,40.4394,113.1536,258.52,88,47,1.81,CN,1707322878
237,kyren,51.6828,102.1408,260.34,78,63,0.89,RU,1707322879
238,saint-philippe,-21.3585,55.7679,299.92,89,91,5.95,RE,1707322880
239,tucano,-10.9631,-38.7867,307.78,36,77,2.56,BR,1707322880
240,yaren,-0.5472,166.916,302.19,75,99,6.82,NR,1707322881
241,vadso,70.0744,29.7487,260.24,85,75,5.66,NO,1707322882
242,palikir - national government center,6.9248,158.1611,300.56,78,75,2.06,FM,1707322883
243,crane,31.3974,-102.3501,285.5,60,100,8.03,US,1707322650
244,springboro,39.5523,-84.2333,282.95,55,0,2.06,US,1707322884
245,mossel bay,-34.1831,22.146,296.11,69,5,5.81,ZA,1707322885
246,yerofey pavlovich,53.9667,121.9667,251.02,96,39,1.85,RU,1707322885
247,arraial do cabo,-22.9661,-42.0278,304.13,70,75,4.12,BR,1707322886
248,bel ombre,-4.6167,55.4167,302.06,74,20,2.57,SC,1707322886
249,porto novo,6.4965,2.6036,305.05,24,10,4.42,BJ,1707322887
250,queenstown,-31.8976,26.8753,300.31,32,0,5.05,ZA,1707322888
251,heunghae,36.1125,129.3522,275.05,80,70,2.01,KR,1707322888
252,doka,13.5167,35.7667,301.77,24,59,4.4,SD,1707322889
253,arkalyk,50.2486,66.9114,267.51,91,100,12.4,KZ,1707322889
254,constantia,44.1833,28.65,285.76,63,96,5.15,RO,1707322890
255,nagqu,31.5,92.0,264.96,24,3,2.56,CN,1707322890
256,illushi,6.6667,6.6308,312.41,10,32,2.88,NG,1707322891
257,copiapo,-27.3667,-70.3333,295.98,39,8,3.71,CL,1707322891
258,deyang,31.1302,104.382,278.98,73,81,0.84,CN,1707322892
259,mejit,10.2753,170.8646,299.8,77,99,10.15,MH,1707322893
260,haiku-pauwela,20.9219,-156.3051,294.84,79,40,8.05,US,1707322893
261,bandar abbas,27.1865,56.2808,294.14,56,0,4.12,IR,1707322894
262,remire-montjoly,4.9167,-52.2667,303.17,70,75,6.69,GF,1707322895
263,sinabang,2.4803,96.3801,300.68,79,48,1.33,ID,1707322895
264,arkhipo-osipovka,44.37,38.52,280.73,87,42,7.95,RU,1707322880
265,kotlas,61.2611,46.6556,254.85,90,79,2.68,RU,1707322897
266,andrews farm,-34.6775,138.6637,290.61,70,2,6.26,AU,1707322898
267,hasaki,35.7333,140.8333,272.37,50,19,1.36,JP,1707322898
268,martapura,-3.4167,114.85,299.2,100,75,1.03,ID,1707322899
269,recani,31.2846,-4.2688,293.73,14,3,3.04,MA,1707322900
270,nova vicosa,-17.8919,-39.3719,303.42,62,83,4.9,BR,1707322900
271,laramie,41.3114,-105.5911,278.45,56,0,4.63,US,1707322901
272,gulf shores,30.246,-87.7008,290.58,64,0,4.02,US,1707322902
273,calama,-22.4667,-68.9333,296.42,43,0,6.69,CL,1707322903
274,kalix,65.853,23.1565,255.06,97,100,3.77,SE,1707322904
275,impfondo,1.6381,18.0667,310.0,19,94,1.16,CG,1707322905
276,namibe,-15.1961,12.1522,299.26,78,99,1.64,AO,1707322906
277,loa janan,-0.583,117.095,297.42,98,100,0.5,ID,1707322907
278,bijie,27.3125,105.2942,273.7,96,100,1.72,CN,1707322908
279,palangkaraya,-2.2,113.8333,296.99,97,100,0.58,ID,1707322909
280,lamitan city,6.6608,122.1408,298.95,82,53,1.38,PH,1707322910
281,darwin,-12.4611,130.8418,299.14,85,94,1.54,AU,1707322876
282,ta`u,-14.2336,-169.5144,301.76,83,100,11.2,AS,1707322911
283,isangel,-19.55,169.2667,298.94,85,100,5.52,VU,1707322912
284,yarega,63.4354,53.5765,261.97,95,100,4.1,RU,1707322913
285,kedougou,12.5579,-12.1743,312.47,19,2,2.06,SN,1707322914
286,nurota,40.5614,65.6886,280.01,61,100,6.3,UZ,1707322915
287,san-pedro,4.7485,-6.6363,304.04,62,10,4.49,CI,1707322916
288,turbo,8.0937,-76.7269,299.22,83,62,3.68,CO,1707322917
289,waat,51.1454,6.4958,278.65,92,40,2.06,DE,1707322917
290,plouzane,48.3833,-4.6167,285.33,100,100,6.17,FR,1707322918
291,blatna,49.4249,13.8818,282.18,91,100,8.21,CZ,1707322919
292,east london,-33.0153,27.9116,295.67,56,0,7.72,ZA,1707322920
293,guerrero negro,27.9769,-114.0611,288.93,59,2,5.64,MX,1707322921
294,gadzhiyevo,69.2551,33.3362,248.67,100,93,2.83,RU,1707322922
295,karapinar,37.716,33.5506,282.73,65,18,6.74,TR,1707322923
296,kochubey,44.3861,46.5825,279.75,81,58,4.11,RU,1707322924
297,atafu village,-8.5421,-172.5159,302.25,77,100,10.42,TK,1707322925
298,katsuren-haebaru,26.3369,127.8719,289.36,94,100,7.72,JP,1707322926
299,greymouth,-42.4667,171.2,288.66,96,100,1.37,NZ,1707322927
300,reggane,26.7158,0.1714,297.44,11,34,4.06,DZ,1707322929
301,dzhangala,49.2167,50.3333,267.86,90,27,4.48,KZ,1707322930
302,fortuna,40.5982,-124.1573,279.63,93,100,3.58,US,1707322931
303,quinhamel,11.8833,-15.85,308.29,37,2,4.79,GW,1707322933
